"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Central Europe and the Baltics","CEB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","72513","65444","","","55388","53924","53494","52211","50770","48986","47425","46034","44703","43809","43444","43015","45292","46926","27272","23967","","","","","","","","","","","","","","","2336","3413","","","99","242","342","427","378","452","802","808","",
"Channel Islands","CHI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23315","21169","34893","24073","24888","23406","22990","19821","18009","16703","15476","12457","9833","13629","12692","4869","",
"China","CHN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","901903","3036143","3739816","4595033","4961843","5260221","4913210","4735287","4335628","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","235049","","","","","","","","","","","","","","","","","","","468353","467136","","489205","528256","502278","509777","628656","","","","","","742423","","","","620416","524045","472388","298821","291738","198183","182255","144541","171637","144985","86759",
"Cameroon","CMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","146014","163021","179011","204238","169564","169747","185313","180626","180828","185083","","","","","","","","180126","","202666","230679","","","","","","","","","","","","","","","","","","","","63452","","","","","7852","43418","277826","81583","","","","",
"Congo, Dem. Rep.","COD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","242878","299337","","","335798","","","","325742","","","","347845","350549","","","","787461","","","999705","1101911","1172862","1138559","769535","","","","2497024","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","20195","","14160","","14228","","10540","9757","22973","23893","22554","21746","18254","","","","","","","","","","","","","","","","","","","","","151941","123891","","","","40512","","53979","","","196986","","","91506","","","","","",
"Colombia","COL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","560132","","","","","643718","","","","","","","","69769","31627","86445","91899","","4587","","","","","","","","34710","","","75009","114789","90074","101669","110051","132716","148304","158138","",
"Comoros","COM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","8747","","","","","","","11981","","","","","17828","15185","","","","","","","13553","","","","","","3786","4246","","","4962","7333","","","","","",
